Title,Channel,Date,Description
"<a href=https://www.youtube.com/watch?v=zAwk-rmzg3k>ESG investing: what is it, exactly? | In The Moment: Episode 28</a>",DBS,2021-10-06T13:02:25Z,"Wanna put your money where your heart is? With ESG Investing, you can do just that. And to sweeten the deal, trends show that ..."
"<a href=https://www.youtube.com/watch?v=uW2KecnyflU>🌱  ESG Investing Explained - Worth it For Investors? (ESG PERFORMANCE, PROS &amp; CONS)</a>",fu academy,2021-05-08T13:15:06Z,ESG Investing is a type of #SustainableInvesting that doesn't just focus on financial returns but also on a positive impact on the ...
<a href=https://www.youtube.com/watch?v=ob66QgCbD3k>How 2021 has been a breakout year for ESG investing</a>,CNBC Television,2021-06-18T12:34:31Z,"It's been a breakout year for environmental, social and governance issues, also known as ESG investing. CNBC's Leslie Picker ..."
<a href=https://www.youtube.com/watch?v=pJGLRh7KGoo>The Next Phase: ESG Investing 2.0</a>,Bloomberg Live,2021-07-20T17:53:58Z,"As the world prepares for a post pandemic future, executives and policy makers are committing to responsible environmental, ..."
<a href=https://www.youtube.com/watch?v=Ey7pqWNdv64>ESG Investing Session Three - Stephen Schaefer and Martin Skancke</a>,London Business School,2021-03-26T16:26:36Z,"Managing climate risk – Martin Skancke, Chair of the Board, Principles for Responsible Investment (PRI). Moderator: Stephen ..."
<a href=https://www.youtube.com/watch?v=pA77F_j2_Ac>ESG investing beyond traditional strategies</a>,London Business School,2021-12-15T13:56:47Z,London Business School's AQR Asset Management Institute held its virtual 'Insight Summit 2021' on 17 November. Participants ...
<a href=https://www.youtube.com/watch?v=46yd1iBUwqQ>ESG Investing: Pros &amp; Cons</a>,"Your Money, Your Wealth",2021-10-21T13:00:03Z,What makes ESG investing a bit complicated since almost everyone has a different idea on which companies are being socially ...
<a href=https://www.youtube.com/watch?v=QjTyNicW3oY>ESG Certification</a>,CFA Society Portugal,2021-02-19T19:32:27Z,All your question about the CFA Institute ESG Certification answered in this video.
<a href=https://www.youtube.com/watch?v=FZg14VDIg3w>ESG: why social investing is the next big thing</a>,Thomson Reuters Foundation,2021-04-29T13:00:04Z,"ESG factors, which measure a company's commitment to environmental, social and governance issues, have become critical to ..."
"<a href=https://www.youtube.com/watch?v=UXXDxbYKkpQ>ESG investing primarily focused on climate, less on social and governance: Jonathan Bailey</a>",CNBC Television,2021-11-12T13:24:01Z,"Jonathan Bailey, head of ESG investing at Neuberger Berman, joins 'Squawk Box' to break down the latest on ESG investing and ..."
<a href=https://www.youtube.com/watch?v=f3s-ShWuScU>ESG investing: How investors are trying to do good for the planet and their portfolios</a>,Acorns,2021-04-19T15:00:27Z,ESG investing has grown in popularity in recent years as people look for investing opportunities that are good for the planet and ...
<a href=https://www.youtube.com/watch?v=SWeS737RhjM>What is ESG Investing?</a>,U.S. Securities and Exchange Commission,2021-06-23T18:06:58Z,"Have questions about investing? Investor.gov has answers. Explore our free tools, tips, and resources."
"<a href=https://www.youtube.com/watch?v=1VdiZItgFtE>ESG Investing, &amp; WHOLESOME CAPITALISM</a>",Earn Your Leisure,2022-03-13T21:00:00Z,In this clip Rachel about ESG investing and being a socially responsible investor. #esg #investing #stocks Link to episode: ...
<a href=https://www.youtube.com/watch?v=pDux5rVnhII>What Is ESG Investing? (Make Money and Improve Our World!)</a>,The ESG Investor,2021-03-12T13:00:27Z,What is ESG Investing? What about impact investing and socially responsible investing? This video will teach you the basics of ...
<a href=https://www.youtube.com/watch?v=Mh_tth56ipc>Governance Factors for Investors | Intro to ESG Course (Part 4 of 7)</a>,Corporate Finance Institute,2021-05-05T17:00:15Z,Introduction to ESG - FREE | Corporate Finance Institute® View full playlist: ...
<a href=https://www.youtube.com/watch?v=3ffNdbRrm4g>Unlikely Facebook excluded from ESG investments: Fmr. BlackRock exec</a>,CNBC Television,2021-10-07T16:16:26Z,"Tariq Fancy, founder and CEO of the Rumie Initiative and former BlackRock sustainable investing chief, joins 'Squawk on the ..."
<a href=https://www.youtube.com/watch?v=DlAcxZpkcYo>ESG Investing is Here To Stay</a>,Qatar Stock Exchange,2021-10-04T09:08:04Z,
"<a href=https://www.youtube.com/watch?v=BbyzReDt89A>ESG investing is off to a good start in 2021, BAML says</a>",CNBC International TV,2021-03-22T09:00:19Z,"Sameer Chopra of Bank of America Merrill Lynch says 2021 is shaping up to be a better year for environmental, social and ..."
<a href=https://www.youtube.com/watch?v=nxcKqKkdxrE>ESG Investing (Simply EXPLAINED! 2021 Version)</a>,Animated Finance,2021-06-06T20:59:59Z,"Well, what is ESG Investing? Learn about the basics of ESG and how it works. This simple video will introduce you to applying the ..."
<a href=https://www.youtube.com/watch?v=1GzjgAxh-8s>ESG Investment Forum 2019: How to Optimize Investment Portfolio with ESG Analysis</a>,SET Thailand,2021-04-07T09:06:15Z,"ESG Investment Forum 2019: How to Optimize Investment Portfolio with ESG Analysis by Stephen Andrews, Managing Director, ..."
"<a href=https://www.youtube.com/watch?v=wqSIikJpj18>PwC U.S. Chair Tim Ryan discusses remote work post-Covid, ESG investing</a>",CNBC Television,2021-03-29T21:30:58Z,"Tim Ryan, PwC U.S. chair and senior partner, joins 'Closing Bell' to discuss a new study that showed a majority of C-suite ..."
<a href=https://www.youtube.com/watch?v=R4YBLIVbNl8>What is ESG investing? Socially Responsible Investing?</a>,Side Of Burritos,2021-03-29T22:15:30Z,"ESG investing, provides a way to invest in funds that are typically consider environmental, social, and governance issues."
<a href=https://www.youtube.com/watch?v=fky3e226y6w>ESG investing is &#39;smart&#39; and clients are asking for it: Victory Capital CEO</a>,CNBC Television,2021-03-15T19:18:49Z,CNBC's Brian Sullivan discusses investing strategies and ESG client requests with Victory Capital CEO and Chairman Dave ...
<a href=https://www.youtube.com/watch?v=kEbeAmlKfYA>ESG Investing &amp; Greenflation (Trader Ferg and Lyall Taylor)</a>,Crux Investor,2022-02-04T17:01:57Z,Sign up for Crux Investor: https://cruxinvestor.com I've followed Lyall Taylor via his LT3000 blog for many years now. It was first ...
<a href=https://www.youtube.com/watch?v=1oIf5z7yg78>ESG Investing: Which Factors are Most Important to Investors?</a>,"Your Money, Your Wealth",2021-10-20T13:00:02Z,Which Factors are Most Important to ESG Investors? 17% Rate of Return 16% Social Impact 16% Goals of the Company 13% ...
<a href=https://www.youtube.com/watch?v=NOZ1EOxVuLQ>ESG Investing in Indian Stock Market-TAMIL-Explained</a>,STOCK TEACH,2021-06-29T16:22:06Z,"You can learn about ESG Investing concept, ESG actions in Indian companies, ESG rating, Status of ESG compliance in India, ..."
<a href=https://www.youtube.com/watch?v=K5z9Ds3XgU0>Bursa Webinar: Environment Social Governance #ESG Investing</a>,Pauline Yong MBA CFP CFTe,2021-05-03T23:57:13Z,Soures in the video: https://research.ftserussell.com/Analytics/FactSheets/temp/142fe1ef-3e4f-496a-bdf1-4e9c7bc3c8c0.pdf ...
<a href=https://www.youtube.com/watch?v=8PwSsA1z-zQ>CIO Vantage Point - ESG Investing</a>,DBS Hong Kong,2021-10-08T10:30:02Z,"It took a once in a lifetime pandemic, but the investment landscape will never return to the unsustainable ways of its pre-pandemic ..."
<a href=https://www.youtube.com/watch?v=-3RIPcI4Ibw>Untangling the complex world of ESG investing</a>,Livewire Markets,2021-09-29T21:00:00Z,"From the hundreds of different ESG frameworks that have sprung up in the last decade, Alphinity Investment Management chose ..."
<a href=https://www.youtube.com/watch?v=3uTSr_eHFok>The Case for ESG Investing</a>,Value Research,2021-09-30T11:05:13Z,Curious about ESG investing? Join us https://bit.ly/vp_esg_sept30 in the first episode of VR Viewpoint as we discuss the ...
<a href=https://www.youtube.com/watch?v=g8htKUKF5K8>The State of ESG Investing: An Outlook for Advisors in 2021</a>,Investopedia,2021-07-01T15:13:00Z,"ESG investing has seen significant inflows in recent years, a trend that appears poised to continue in 2021. Larry Lawrence ..."
<a href=https://www.youtube.com/watch?v=uPXhW_UQvQw>ESG Investing Solutions</a>,FactSet,2021-12-15T15:45:39Z,"Environmental, social, and governance investing has taken center stage in the financial services landscape. New technology and ..."
<a href=https://www.youtube.com/watch?v=PCYvDI76zfY>ESG Investing Session two - Anna Pavlova &amp; three academics from MIT &amp; Zurich</a>,London Business School,2021-03-26T16:26:29Z,"Aggregate confusion: the divergence of ESG ratings – Florian Berg, MIT Sloan School of Management; Julian Kölbel, University of ..."
<a href=https://www.youtube.com/watch?v=H3owgTth5co>Beyond catchy taglines: Navigating ESG investing with AllianceBernstein</a>,The Edge Singapore,2021-10-25T00:35:29Z,Does investing in ESG hurt investment returns? Are ESG portfolios only concerned with saving the environment?
<a href=https://www.youtube.com/watch?v=m054qqS-jB0>ESGα: Finding the Alpha in ESG Investing</a>,BuzzOnEarth,2021-10-25T12:11:01Z,Funds with high environmental scores tend to load up with quality and momentum factor stocks. Learn more about the link ...
<a href=https://www.youtube.com/watch?v=sD_U8Nq__GM>Ethics - the missing &#39;E&#39; in ESG investing?</a>,Institute of Business Ethics,2022-03-17T15:09:17Z,"Annabel Gillard, who has spent over 20 years working in asset management, asked leading players in the UK investment industry ..."
<a href=https://www.youtube.com/watch?v=jTMfXJgDGwQ>Impact vs  ESG Investing</a>,The DI Wire,2022-02-14T23:18:58Z,
"<a href=https://www.youtube.com/watch?v=uoDcTscCnbs>ESG Investing, Diversity &amp; Inclusion and Paving The Way Towards Impact and Sustainability</a>",StoneX,2021-02-26T01:28:02Z,"Hear Steve Yoon Investment Officer for Municipal Employees' Annuity and Benefit Fund of Chicago, Anna-Marie Wascher CEO ..."
<a href=https://www.youtube.com/watch?v=wN-Opi5sPE8>What ESG Investing Popularity Says About Market Trends</a>,Elliott Wave International,2021-08-24T16:20:51Z,"ESG debt -- or debt for Environmental, Social and Governance initiatives -- is hot. This year alone, ~$50 billion worth of ESG debt ..."
<a href=https://www.youtube.com/watch?v=F0yw97pICtM>ESG Investing: What to Know</a>,Marcus by Goldman Sachs,2022-01-18T18:52:47Z,"Goldman Sachs' Head of Sustainable Solutions, Abigail Pohlman, explains what ESG investing is, some common misconceptions ..."
<a href=https://www.youtube.com/watch?v=LG-H_H3JEIg>What is ESG investing? Should you follow the trend? | ESG trends 2021</a>,ARYA,2021-10-13T14:04:46Z,"ESG is a huge trend, and we see it in everything, from pride month to climate change initiatives by big companies to boost their ..."
<a href=https://www.youtube.com/watch?v=hHxNLKwTagM>Introducing Socially Responsible Investing with Moneyfarm - Live Webinar - 24 November 2021</a>,Moneyfarm UK,2021-11-25T10:23:27Z,Find everything you need to know about our Socially Responsible Investing product here: https://bit.ly/3ycOvdr 00:00 - 02:16: ...
<a href=https://www.youtube.com/watch?v=kdUxIskEHE8>ESG Investing - The biggest alpha generator in a fast transitioning investment landscape</a>,smallcase,2021-07-10T11:42:55Z,"Join Salonee Sanghvi for an insightful webinar on ""ESG Investing - The biggest alpha generator in a fast transitioning investment ..."
<a href=https://www.youtube.com/watch?v=vHhEdhHYAqo>The role of alternative proteins in ESG investing and CSR</a>,The Good Food Institute,2021-09-30T22:53:35Z,"Hear leading investors, corporations, and standard-setters discuss how alternative proteins fit into the critical ESG investing ..."
<a href=https://www.youtube.com/watch?v=8-sxNEhMx_Y>Why ESG Investing is a SCAM</a>,Digital Finance Weekly,2021-07-03T17:10:44Z,ESG is being sold as a positive for climate change but in reality is hurting consumers and delaying a real solution. Full video here: ...
<a href=https://www.youtube.com/watch?v=WaCbJttoULk>ESG Investing - Market Impacts</a>,Interactive Brokers,2021-04-01T18:43:52Z,Interactive Brokers' senior market analyst Steven Levine illustrates how various market sectors have been impacted amid growing ...
"<a href=https://www.youtube.com/watch?v=rF-jrWgdEhQ>ESG Investing – Higher Returns, Or a Complete Fraud?</a>",Finest Finance,2022-01-23T12:00:32Z,"The rise of ESG investing! But is ESG investing a fraud, or can you actually get higher returns with ESG investing? 00:00 ESG ..."
"<a href=https://www.youtube.com/watch?v=DWZWtZr3Q4Y>Environmental, Social and Corporate Governance (ESG) Investing with James Harwood</a>",Australian Investment Education,2021-10-03T21:00:10Z,"In this week's video. We are going to tackle Environmental, Social, and Corporate Governance (ESG) Investing with James ..."
<a href=https://www.youtube.com/watch?v=CrttFrmDZ30>The Best ESG Companies! (And How to Find ESG Stocks)</a>,The ESG Investor,2021-08-19T22:30:01Z,"Finding sustainable companies and good ESG stocks can be hard. Well, Corporate Knights has made finding ESG stocks a lot ..."
"<a href=https://www.youtube.com/watch?v=Kk6-fvyf0hw>ESG Investing: Explaining &amp; Exploring Environmental, Social &amp; Governance (ESG) Investing</a>",Walkner Condon Financial Advisors,2022-03-04T18:29:42Z,"Maybe you've thought about how you might invest more sustainably, responsibly, or equitably. Or maybe you've actually heard ..."
<a href=https://www.youtube.com/watch?v=dwv-Z6t7Y7w>Financial Discretion Advised: ESG Investing w/ Special Guest Jim Bradley</a>,Penobscot Financial Advisors,2021-04-08T16:00:31Z,"In this episode Abrin and Tyler bring on a guest, Jim Bradley, to dive into the world of ESG investing. Jim is the founder of ..."
<a href=https://www.youtube.com/watch?v=cHLWGN3SSi0>A New Way To Invest | ESG Investing 101</a>,DollarMike,2021-06-22T16:00:30Z,"ESG is a new way invest in some of your favorite companies. Using environmental, social and governance aspects of a company, ..."
<a href=https://www.youtube.com/watch?v=fXWQQNRL-do>ESG 投资的前景， 机遇与风险 ｜ ESG Investing: Opportunities and Challenges Fuelled by the Pandemic</a>,moomoosingapore,2021-10-15T06:31:05Z,ESG投资并非新鲜概念，自疫情发生以来，ESG投资热度不降反升， 相比于其他投资概念， ESG投资组合在新冠疫情期间表现更富有 ...
<a href=https://www.youtube.com/watch?v=9BlBLkvYv8E>WiSER Wisdom Series Panel Explores the Growing Influence of ESG Investing</a>,Masdar,2021-12-06T13:30:57Z,"For businesses to succeed in bringing ESG principles to life, gender balance is critical across all functions. Speakers from ..."
<a href=https://www.youtube.com/watch?v=ryZF15mQR_o>ESG Investing for Australian Expats</a>,Jarrad Brown - Australian Expat Finance,2021-02-24T00:32:03Z,What is #ESG investing..? Will it improve my investment returns..? How do I get started..? The growth in investment in this space ...
<a href=https://www.youtube.com/watch?v=KRcnicDDs1w>Is esg investing a fad?</a>,Tswaledi Hlakudi,2021-06-27T20:59:38Z,"Hi everyone, is esg investing worth it? When did esg start? What is esg investing forbes? Who started esg investing? Where to ..."
<a href=https://www.youtube.com/watch?v=I1F5hSAt8U8>Top 5 ESG stocks in Tamil | ESG investing | Groww Tamil</a>,Groww Tamil,2022-02-13T06:04:18Z,"Top 5 ESG stocks in Tamil | ESG investing | Groww Tamil To watch the best videos on investing in தமிழ், Subscribe to Groww ..."
<a href=https://www.youtube.com/watch?v=RltFGhE9X8s>ESG Investing: “The Race of Our Lives”</a>,WEALTHTRACK,2021-07-10T23:27:56Z,Part 2 of 2 When legendary value investor Jeremy Grantham turned 80 he made two resolutions: “to be prepared to write a ...
<a href=https://www.youtube.com/watch?v=_8vQLMGfXLg>Working to change the misconceptions around ESG investing</a>,M&G Investments,2021-08-04T12:32:21Z,"Advertisement for UK. The myth that considering Environmental, Social and Governance factors will detract from potential ..."
<a href=https://www.youtube.com/watch?v=WCAevabQB1Y>ESG Impact Investing Explained | What is Sustainable Investing?</a>,GO Invest,2021-03-01T22:00:12Z,"What is sustainable investing? In this video, I give an overview of ESG sustainable investing, detail the recent trends of impact ..."
"<a href=https://www.youtube.com/watch?v=YkaZ2hZr5Fs>How to Start an ETF, is a Recession Coming, &amp; ESG Investing</a>",Earn Your Leisure,2022-03-08T03:41:54Z,In this episode we talked to the founder and CEO of Adasina Social Capital Rachel Robasciotti - Adasina Adasina is a socially ...
<a href=https://www.youtube.com/watch?v=DixNEPFBSEM>What is ESG Investing?</a>,Morningstar Australia,2021-09-09T02:13:13Z,Learn about the evolution of ESG & how to ensure you are evaluating the full spectrum of investing risk. Millions of investors trust ...
<a href=https://www.youtube.com/watch?v=qiy1Q7pgGck>Get in the Know - ESG Investing</a>,NASAA,2021-05-26T17:12:58Z,
<a href=https://www.youtube.com/watch?v=87U3ot8Yt7o>ESG Investing | The Sustainability Opportunity</a>,California Wealth Transitions,2021-10-27T21:18:11Z,Learn more about today's hottest trend in socially responsible investing in our latest webinar: ESG Investing | The Sustainability ...
<a href=https://www.youtube.com/watch?v=BCABPzCh4b8>ESG Investing: Risk vs Return</a>,"Your Money, Your Wealth",2021-10-22T13:00:11Z,Portfolios With A Purpose: Risk vs Return: • It Isn't One-Size-Fits-All • Tricky to Select Your Issues • No Reporting Requirement ...
<a href=https://www.youtube.com/watch?v=j1fnjEQFVGE>Investing in ESG Fixed Income Funds - through the lens of ESG fund managers</a>,Endowus,2021-03-31T12:08:44Z,Introductions 0:00 Introduction to PIMCO's ESG Integration 6:12 Introduction to J.P.Morgan Asset Management's ESG Integration ...
<a href=https://www.youtube.com/watch?v=oJALKpLNRJo>CFA Institute Certificate in ESG Investing</a>,CFA Society Switzerland,2021-09-09T06:49:43Z,Learn how to make a difference in your career – and the world. The CFA Institute Certificate in ESG Investing gives you the ...
"<a href=https://www.youtube.com/watch?v=2fJiIxudn0M>ESG Investing: Environmental, Social, and Governance w/ Brendan Erne (MI098)</a>",The Investor's Podcast Network,2021-06-23T10:00:03Z,"This week, Robert Leonard chats with Brendan Erne about socially responsible investing, sometimes referred to as ESG ..."
<a href=https://www.youtube.com/watch?v=NUSGE5Eaqkw>ESG Investing - Strategies for Analysis</a>,Interactive Brokers,2021-04-06T14:19:37Z,Interactive Brokers' senior market analyst Steven Levine offers some ESG Investing strategies to consider when conducting ...
<a href=https://www.youtube.com/watch?v=qlpgqm1uarw>How ESG Investing Will Forever Transform Commercial Real Estate</a>,Rhove App,2021-07-13T17:41:41Z,"If you care about the social and environmental impact of your investments, you're not alone. Investing with an ESG mindset means ..."
<a href=https://www.youtube.com/watch?v=JHGQPZ0pG5U>ESG Investing Explained | The future of investing (almost)</a>,James Shack,2021-05-30T16:00:06Z,Market beating returns and a clear conscience. Is this too good to be true? -- Looking for some advice? -- I am a Chartered Wealth ...
<a href=https://www.youtube.com/watch?v=K1Qe838FgIc>ESG Investment Trends in Latin America and the Caribbean</a>,Inter-American Dialogue,2021-08-26T16:06:09Z,Recent research shows that attracting new investments in key sustainability sectors could help to strengthen the pace of Latin ...
<a href=https://www.youtube.com/watch?v=s3JwY6dacFQ>How Goldman Sachs Is Addressing the ‘S’ in ESG Investing</a>,Columbia Business School,2022-03-30T22:32:53Z,"Throughout the evolution of SRI and ESG investing, institutional investors have focused in on 'E' (environmental) and 'G' ..."
<a href=https://www.youtube.com/watch?v=2JQZtiFD3Gs>The Future of ESG Investing | Kizmet Impact Capital</a>,Midas Letter RAW,2022-01-24T16:16:53Z,Kizmet Impact Capital is launching the world's first publicly-traded impact investment fund to democratize the future of ...
"<a href=https://www.youtube.com/watch?v=98gzIruo3gU>ESG Investing: Greenwashing, Climate Change, IPCC, COP 26 and Modern-Day Slavery</a>",UTS Finance,2021-09-21T01:53:59Z,"""Current Developments in ESG Investing: Greenwashing, Climate Change, IPCC, COP 26 and Modern-Day Slavery"" (hosted by ..."
<a href=https://www.youtube.com/watch?v=E56CImK7jV4>ESG Investing Webinar</a>,Shotwell Rutter Baer,2021-11-01T15:10:31Z,We are very excited about this quarter's client webinar: ESG Investing 101 featuring Professor Apollo D. Lupescu from ...
"<a href=https://www.youtube.com/watch?v=RHmq9_2sAh0>Harmonization, Integration, and Innovation: Three Trends Shaping the Future of ESG Investing</a>",China General Chamber of Commerce - USA,2021-06-15T19:59:22Z,"On June 15th, CGCC partnered with Moody's ESG Solutions to host a webinar titled ""Harmonization, Integration, and Innovation: ..."
<a href=https://www.youtube.com/watch?v=v4vfxqgedOg>There Is Now a CFA Level 4 Exam???</a>,Straight Talks - AJ Srmek,2021-06-09T02:43:34Z,"This video title might sound like clickbait, but it's not. The CFA is really calling this new test level 4, or at least they say if you pass ..."
<a href=https://www.youtube.com/watch?v=G2IGUkzif5Q>Alumni Panel: The Changing Landscape of ESG Investing</a>,MIT Sloan Alumni,2021-07-08T20:09:13Z,"MIT Sloan Virtual Reunion 2021 June 4, 2021 Featuring: Gita Rao, Senior Lecturer; Associate Faculty Director, MFin Program, MIT ..."
<a href=https://www.youtube.com/watch?v=PAz2XgOGTT0>Vanguard ESG Developed World All Cap Equity Index Fund | ESG investing with Vanguard UK</a>,Free your Finance,2021-04-11T16:00:07Z,"In today's video, we talk about one of the funds I invest in personally, the Vanguard ESG Developed World All Cap Equity Index ..."
<a href=https://www.youtube.com/watch?v=cPNPPiCdgMY>Acting Chair Lee in Dialogue on ESG Investing</a>,U.S. Securities and Exchange Commission,2021-03-29T14:26:15Z,"During the recent CERAWeek conference, Acting Chair Lee sat down to talk with Atul Arya of IHS Markit to discuss the importance ..."
<a href=https://www.youtube.com/watch?v=mAcIjrYLsmc>ESG Investing Webinar | ESSEC Webinar</a>,ESSEC Business School,2021-04-15T09:08:17Z,"Second Webinar organised by the ESSEC-Amundi Chair in Asset & Risk Management. ""Personal Values, Responsible Investing ..."
<a href=https://www.youtube.com/watch?v=gaLjCMSzGcg>What is ESG investing?</a>,Progeny,2021-03-19T16:21:59Z,"We spoke to Ian Hooper, Director of Asset Management at Progeny to outline the meaning of Environmental, Social and ..."
"<a href=https://www.youtube.com/watch?v=zHHzqHwmnLs>Definition of Environment, Social &amp; Governance (ESG) Investing</a>",Crux Investor,2021-02-24T16:30:04Z,"Conversation with John Lewins, CEO of K92 Mining Inc. (TSX:KNT) If you want our take on this interview and K92 Mining, go to ..."
